,Best_Wine,Name,url,title,price,avg_rating
0,Rombauer Merlot,merlot,https://spoonacular.com/productImages/447938-312x231.jpg,Rombauer Merlot,$25.59,0.96
1,Finca La Malena Malbec,malbec,https://spoonacular.com/productImages/431374-312x231.jpg,Finca La Malena Malbec,$13.99,1.0
2,NV The Big Kahuna Shiraz,shiraz,https://spoonacular.com/productImages/428217-312x231.jpg,NV The Big Kahuna Shiraz,$6.99,1.0
3,The Donum Estate Russian River Valley Pinot Noir,pinot noir,https://spoonacular.com/productImages/433784-312x231.jpg,The Donum Estate Russian River Valley Pinot Noir,$66.99,0.9800000000000001
4,Bellafina Prosecco,rose wine,https://spoonacular.com/productImages/461572-312x231.jpg,Bellafina Prosecco,$11.99,0.9199999999999999
5,Ghost Pines Sonoma County San Joaquin County Zinfandel,zinfandel,https://spoonacular.com/productImages/428933-312x231.jpg,Ghost Pines Sonoma County San Joaquin County Zinfandel,$26.65,1.0
6,Selvapiana Chianti Rufina,sangiovese,https://spoonacular.com/productImages/436167-312x231.jpg,Selvapiana Chianti Rufina,$14.09,0.86
7,Columbia Winery Cellarmaster's Riesling,riesling,https://spoonacular.com/productImages/435555-312x231.jpg,Columbia Winery Cellarmaster's Riesling,$11.99,0.9400000000000001
8,Bellissima Sparkling Rose,sparkling rose,https://spoonacular.com/productImages/458665-312x231.jpg,Bellissima Sparkling Rose,$23.99,0.9
9,Ken Forrester Old Vine Reserve Chenin Blanc,chenin blanc,https://spoonacular.com/productImages/442201-312x231.jpg,Ken Forrester Old Vine Reserve Chenin Blanc,$15.99,0.9800000000000001
10,Campo Viejo Cava Brut Rose,cava,https://spoonacular.com/productImages/468840-312x231.jpg,Campo Viejo Cava Brut Rose,$11.99,0.8800000000000001
11,Downton Abbey Countess of Grantham Chardonnay,chardonnay,https://spoonacular.com/productImages/428720-312x231.jpg,Downton Abbey Countess of Grantham Chardonnay,$15.99,1.0
12,NV ONEHOPE Brut,sparkling wine,https://spoonacular.com/productImages/428232-312x231.jpg,NV ONEHOPE Brut,$19.99,0.9400000000000001
13,Salneval Albarino,albarino,https://spoonacular.com/productImages/446012-312x231.jpg,Salneval Albarino,$9.39,0.8400000000000001
14,Volteo Tempranillo,tempranillo,https://spoonacular.com/productImages/440415-312x231.jpg,Volteo Tempranillo,$7.99,0.78
15,Uproot Wines Grenache,grenache,https://spoonacular.com/productImages/430616-312x231.jpg,Uproot Wines Grenache,$46.0,1.0
16,Louis Jadot Chablis,chablis,https://spoonacular.com/productImages/441116-312x231.jpg,Louis Jadot Chablis,$19.99,0.8800000000000001
17,Miranda Lambert Kerosene Pinot Grigio Wine,pinot grigio,https://spoonacular.com/productImages/428324-312x231.jpg,Miranda Lambert Kerosene Pinot Grigio Wine,$26.0,1.0
18,Carpineta Fontalpino Chianti Classico,chianti,https://spoonacular.com/productImages/446740-312x231.jpg,Carpineta Fontalpino Chianti Classico,$19.99,0.9199999999999999
